### var1 :  event_nPV 
### var2 :  ph_et 
+10.00000	+15.00000	+10.00000	+15.00000	0.83244	0.00100	0.08525	0.00250	0.00031	0.69379	0.00000	0.00071
+15.00000	+20.00000	+10.00000	+15.00000	0.82725	0.00100	0.09332	0.00121	0.00009	0.56451	0.00000	0.45972
+20.00000	+25.00000	+10.00000	+15.00000	0.84612	0.00100	0.10076	0.00100	0.00001	0.48777	0.00000	0.54362
+25.00000	+30.00000	+10.00000	+15.00000	0.00001	0.00100	0.10725	0.00100	0.00001	0.91934	0.00000	0.86269
+30.00000	+35.00000	+10.00000	+15.00000	0.87281	0.00100	0.11637	0.00100	0.00000	0.90885	0.00000	0.00001
+35.00000	+40.00000	+10.00000	+15.00000	0.00001	0.00100	0.12334	0.00100	0.00000	0.91287	0.00000	0.37562
+40.00000	+50.00000	+10.00000	+15.00000	0.89798	0.00100	0.13456	0.00100	0.72105	0.94663	0.00000	0.85259
+50.00000	+100.00000	+10.00000	+15.00000	0.78543	0.00100	0.14961	0.00261	0.00003	0.69334	0.00000	0.29948
+10.00000	+15.00000	+15.00000	+20.00000	0.13276	0.00399	0.08505	0.00167	0.19593	0.32610	1.00000	0.28086
+15.00000	+20.00000	+15.00000	+20.00000	0.00004	0.00100	0.08733	0.00100	0.05888	0.24427	0.00000	0.28077
+20.00000	+25.00000	+15.00000	+20.00000	0.06612	0.00100	0.09292	0.00100	0.10413	0.00002	0.00000	0.20099
+25.00000	+30.00000	+15.00000	+20.00000	0.00071	0.00100	0.09814	0.00100	0.07480	0.81554	0.00000	0.28916
+30.00000	+35.00000	+15.00000	+20.00000	0.09039	0.00100	0.10345	0.00100	0.11730	0.77038	0.00000	0.25929
+35.00000	+40.00000	+15.00000	+20.00000	0.82471	0.00100	0.11000	0.00100	0.05406	0.66752	0.00000	0.23544
+40.00000	+50.00000	+15.00000	+20.00000	0.83337	0.00100	0.11785	0.00100	0.13289	0.84252	0.00000	0.27083
+50.00000	+100.00000	+15.00000	+20.00000	0.00001	0.00100	0.12990	0.00162	0.10016	0.07047	0.00000	0.27676
